,anio,region,prov,mes,f_BIODIESEL
213,2011,7,13,5,0
214,2011,3,14,5,0
215,2011,5,0,6,1
216,2011,5,0,6,1
217,2011,8,3,6,0
218,2011,7,8,6,0
219,2011,3,9,6,0
220,2011,7,19,6,0
221,2011,1,4,6,0
222,2011,3,9,6,0
223,2011,1,4,6,0
224,2011,1,4,6,0
225,2011,3,9,6,0
226,2011,3,14,6,0
227,2011,8,3,6,0
228,2011,7,19,6,0
229,2011,3,9,6,0
230,2011,1,4,6,0
231,2011,7,19,6,0
232,2011,3,9,6,1
233,2011,3,9,6,1
234,2011,7,6,6,0
235,2011,1,4,6,0
236,2011,7,18,6,0
237,2011,1,4,6,0
238,2011,0,0,6,0
239,2011,0,0,6,0
240,2011,3,9,6,0
241,2011,4,0,6,1
242,2011,4,0,6,1
243,2011,1,4,6,0
244,2011,6,10,6,0
245,2011,7,19,6,0
246,2011,3,14,6,0
247,2011,1,4,6,0
248,2011,7,18,6,0
249,2011,7,6,6,0
250,2011,2,12,6,0
251,2011,5,17,6,0
252,2011,3,14,6,0
253,2011,3,9,6,0
254,2011,5,0,6,1
255,2011,1,4,6,0
256,2011,7,13,6,0
257,2011,3,14,6,0
258,2011,5,0,7,1
259,2011,5,0,7,1
260,2011,8,3,7,0
261,2011,7,8,7,0
262,2011,3,9,7,0
263,2011,7,19,7,0
264,2011,1,4,7,0
265,2011,3,9,7,0
266,2011,1,4,7,0
267,2011,1,4,7,0
268,2011,3,9,7,0
269,2011,3,14,7,0
270,2011,8,3,7,0
271,2011,7,19,7,0
272,2011,3,9,7,0
273,2011,1,4,7,0
274,2011,7,19,7,0
275,2011,3,9,7,1
276,2011,3,9,7,1
277,2011,7,6,7,0
278,2011,1,4,7,0
279,2011,7,18,7,0
280,2011,1,4,7,0
281,2011,0,0,7,0
282,2011,0,0,7,0
283,2011,3,9,7,0
284,2011,4,0,7,1
285,2011,4,0,7,1
286,2011,1,4,7,0
287,2011,6,10,7,0
288,2011,7,19,7,0
289,2011,3,14,7,0
290,2011,1,4,7,0
291,2011,7,18,7,0
292,2011,7,6,7,0
293,2011,2,12,7,0
294,2011,5,17,7,0
295,2011,3,14,7,0
296,2011,3,9,7,0
297,2011,5,0,7,1
298,2011,1,4,7,0
299,2011,7,13,7,0
300,2011,3,14,7,0
301,2011,5,0,8,1
302,2011,5,0,8,1
303,2011,8,3,8,0
304,2011,7,8,8,0
305,2011,3,9,8,0
306,2011,7,19,8,0
307,2011,1,4,8,0
308,2011,3,9,8,0
309,2011,1,4,8,0
310,2011,1,4,8,0
311,2011,3,9,8,0
312,2011,3,14,8,0
313,2011,8,3,8,0
314,2011,7,19,8,0
315,2011,3,9,8,0
316,2011,1,4,8,0
317,2011,7,19,8,0
318,2011,3,9,8,1
319,2011,3,9,8,1
320,2011,7,6,8,0
321,2011,1,4,8,0
322,2011,7,18,8,0
323,2011,1,4,8,0
324,2011,0,0,8,0
325,2011,0,0,8,0
326,2011,3,9,8,0
327,2011,4,0,8,1
328,2011,4,0,8,1
329,2011,1,4,8,0
330,2011,6,10,8,0
331,2011,7,19,8,0
332,2011,3,14,8,0
333,2011,1,4,8,0
334,2011,7,18,8,0
335,2011,7,6,8,0
336,2011,2,12,8,0
337,2011,5,17,8,0
338,2011,3,14,8,0
339,2011,3,9,8,0
340,2011,5,0,8,1
341,2011,1,4,8,0
342,2011,7,13,8,0
343,2011,3,14,8,0
344,2011,5,0,9,1
345,2011,5,0,9,1
346,2011,8,3,9,0
347,2011,7,8,9,0
348,2011,3,9,9,0
349,2011,7,19,9,0
350,2011,1,4,9,0
351,2011,3,9,9,0
352,2011,1,4,9,0
353,2011,1,4,9,0
354,2011,3,9,9,0
355,2011,3,14,9,0
356,2011,8,3,9,0
357,2011,7,19,9,0
358,2011,3,9,9,0
359,2011,1,4,9,0
360,2011,7,19,9,0
361,2011,3,9,9,1
362,2011,3,9,9,1
363,2011,7,6,9,0
364,2011,1,4,9,0
365,2011,7,18,9,0
366,2011,1,4,9,0
367,2011,0,0,9,0
368,2011,0,0,9,0
369,2011,3,9,9,0
370,2011,4,0,9,1
371,2011,4,0,9,1
372,2011,1,4,9,0
373,2011,6,10,9,0
374,2011,7,19,9,0
375,2011,3,14,9,0
376,2011,1,4,9,0
377,2011,7,18,9,0
378,2011,7,6,9,0
379,2011,2,12,9,0
380,2011,5,17,9,0
381,2011,3,14,9,0
382,2011,3,9,9,0
383,2011,5,0,9,1
384,2011,1,4,9,0
385,2011,7,13,9,0
386,2011,3,14,9,0
387,2011,5,0,10,1
388,2011,5,0,10,1
389,2011,8,3,10,0
390,2011,7,8,10,0
391,2011,3,9,10,0
392,2011,7,19,10,0
393,2011,1,4,10,0
394,2011,3,9,10,0
395,2011,1,4,10,0
396,2011,1,4,10,0
397,2011,3,9,10,0
398,2011,3,14,10,0
399,2011,8,3,10,0
400,2011,7,19,10,0
401,2011,3,9,10,0
402,2011,1,4,10,0
403,2011,7,19,10,0
404,2011,3,9,10,1
405,2011,3,9,10,1
406,2011,7,6,10,0
407,2011,1,4,10,0
408,2011,7,18,10,0
409,2011,1,4,10,0
410,2011,0,0,10,0
411,2011,0,0,10,0
412,2011,3,9,10,0
413,2011,4,0,10,1
414,2011,4,0,10,1
415,2011,1,4,10,0
416,2011,6,10,10,0
417,2011,7,19,10,0
418,2011,3,14,10,0
419,2011,1,4,10,0
420,2011,7,18,10,0
421,2011,7,6,10,0
422,2011,2,12,10,0
423,2011,3,14,10,1
424,2011,5,17,10,0
425,2011,3,14,10,0
426,2011,3,9,10,0
427,2011,5,0,10,1
428,2011,1,4,10,0
429,2011,5,17,10,1
430,2011,7,13,10,0
431,2011,3,14,10,0
432,2011,5,0,11,1
433,2011,5,0,11,1
434,2011,8,3,11,0
435,2011,7,8,11,0
436,2011,3,9,11,0
437,2011,7,19,11,0
438,2011,1,4,11,0
439,2011,3,9,11,0
440,2011,1,4,11,0
441,2011,1,4,11,0
442,2011,3,9,11,0
443,2011,3,14,11,0
444,2011,8,3,11,0
445,2011,7,19,11,0
446,2011,3,9,11,0
447,2011,1,4,11,0
448,2011,7,19,11,0
